=== AUDIT LOG EXPORT (2026-03-17 to 2026-03-17) ===

Timestamp,Device,Type,Status,Failed Logins,Firewall Status,Patch Status,Error
3/17/2026, 5:30:02 AM,device-1773658211465,auto,Success,"15052","Inactive","Updates Available",""
3/17/2026, 5:30:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 5:45:02 AM,device-1773658211465,auto,Success,"15368","Inactive","Updates Available",""
3/17/2026, 5:45:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 6:00:02 AM,device-1773658211465,auto,Success,"15846","Inactive","Updates Available",""
3/17/2026, 6:00:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 6:15:02 AM,device-1773658211465,auto,Success,"16344","Inactive","Updates Available",""
3/17/2026, 6:15:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 6:30:02 AM,device-1773658211465,auto,Success,"16700","Inactive","Updates Available",""
3/17/2026, 6:30:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 6:45:02 AM,device-1773658211465,auto,Success,"16958","Inactive","Updates Available",""
3/17/2026, 6:45:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 7:00:02 AM,device-1773658211465,auto,Success,"17204","Inactive","Updates Available",""
3/17/2026, 7:00:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 7:15:02 AM,device-1773658211465,auto,Success,"17448","Inactive","Updates Available",""
3/17/2026, 7:15:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 7:30:02 AM,device-1773658211465,auto,Success,"17696","Inactive","Updates Available",""
3/17/2026, 7:30:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 7:45:02 AM,device-1773658211465,auto,Success,"17960","Inactive","Updates Available",""
3/17/2026, 7:45:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 8:00:02 AM,device-1773658211465,auto,Success,"18306","Inactive","Updates Available",""
3/17/2026, 8:00:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 8:15:02 AM,device-1773658211465,auto,Success,"18666","Inactive","Updates Available",""
3/17/2026, 8:15:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 8:30:02 AM,device-1773658211465,auto,Success,"18972","Inactive","Updates Available",""
3/17/2026, 8:30:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 8:45:02 AM,device-1773658211465,auto,Success,"19310","Inactive","Updates Available",""
3/17/2026, 8:45:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 9:00:02 AM,device-1773658211465,auto,Success,"19758","Inactive","Updates Available",""
3/17/2026, 9:00:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 9:15:02 AM,device-1773658211465,auto,Success,"20210","Inactive","Updates Available",""
3/17/2026, 9:15:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 9:30:02 AM,device-1773658211465,auto,Success,"20612","Inactive","Updates Available",""
3/17/2026, 9:30:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 9:45:02 AM,device-1773658211465,auto,Success,"21004","Inactive","Updates Available",""
3/17/2026, 9:45:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 10:00:02 AM,device-1773658211465,auto,Success,"21416","Inactive","Updates Available",""
3/17/2026, 10:00:02 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 10:15:15 AM,device-1773658211465,auto,Success,"0","Inactive","Updates Available",""
3/17/2026, 10:15:15 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 10:30:12 AM,device-1773658211465,auto,Success,"22222","Inactive","Updates Available",""
3/17/2026, 10:30:12 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 10:45:15 AM,device-1773658211465,auto,Success,"0","Inactive","Updates Available",""
3/17/2026, 10:45:15 AM,device-1773660568252,auto,Success,"N/A (SNMP)","Connected via SNMP","Manual Verification required",""
3/17/2026, 10:54:51 AM,device-1773658211465,bulk_scan,Success,"22890","Inactive","Updates Available",""
3/17/2026, 10:54:51 AM,device-1773660568252,bulk_scan,Success,"N/A (SNMP)","Connected via SNMP","Firmware: FortiOS v7.4.8,build2795,250523 (GA.M)",""
